slice_file_name,fold,classID
100032-3-0-0-ts-1.07.wav,5,3
100032-3-0-0-ps-2.wav,5,3
100263-2-0-117-ts-0.93.wav,5,2
100263-2-0-121-ps-2.wav,5,2
100263-2-0-126-ps-2.wav,5,2
100263-2-0-137-ts-0.93.wav,5,2
100263-2-0-137-ps--2.wav,5,2
100263-2-0-143-ps--2.wav,5,2
100263-2-0-161-ts-1.07.wav,5,2
100263-2-0-161-ps--1.wav,5,2
100263-2-0-36-ts-0.93.wav,5,2
100263-2-0-36-ps--1.wav,5,2
100648-1-0-0-ts-0.93.wav,10,1
100648-1-0-0-ps-2.wav,10,1
100648-1-1-0-ts-0.81.wav,10,1
100648-1-2-0-ps--1.wav,10,1
100648-1-3-0-ps-2.wav,10,1
100652-3-0-0-ts-0.93.wav,2,3
100652-3-0-1-ts-0.93.wav,2,3
100652-3-0-1-ps-1.wav,2,3
100652-3-0-2-ts-1.07.wav,2,3
100652-3-0-2-ps-2.wav,2,3
100652-3-0-3-ps-1.wav,2,3
100795-3-1-0-ts-1.23.wav,10,3
100795-3-1-0-ps--2.wav,10,3
100795-3-1-1-ts-1.23.wav,10,3
100795-3-1-2-ts-0.81.wav,10,3
100795-3-1-2-ps--1.wav,10,3
100852-0-0-11-ps--1.wav,5,0
100852-0-0-12-ps--2.wav,5,0
100852-0-0-13-ts-0.81.wav,5,0
100852-0-0-14-ps--2.wav,5,0
100852-0-0-15-ts-0.81.wav,5,0
100852-0-0-18-ts-1.23.wav,5,0
100852-0-0-18-ps-1.wav,5,0
100852-0-0-19-ps--2.wav,5,0
100852-0-0-2-ts-1.07.wav,5,0
100852-0-0-20-ts-1.07.wav,5,0
100852-0-0-20-ps--1.wav,5,0
100852-0-0-22-ts-0.93.wav,5,0
100852-0-0-23-ts-1.07.wav,5,0
100852-0-0-23-ps--1.wav,5,0
100852-0-0-24-ts-1.07.wav,5,0
100852-0-0-25-ts-1.07.wav,5,0
100852-0-0-25-ps-2.wav,5,0
100852-0-0-26-ts-1.23.wav,5,0
100852-0-0-26-ps--2.wav,5,0
100852-0-0-28-ps-1.wav,5,0
100852-0-0-29-ts-1.07.wav,5,0
100852-0-0-29-ps-2.wav,5,0
100852-0-0-3-ts-1.23.wav,5,0
100852-0-0-4-ps-1.wav,5,0
100852-0-0-5-ts-1.07.wav,5,0
100852-0-0-5-ps-2.wav,5,0
100852-0-0-6-ps-2.wav,5,0
100852-0-0-7-ts-1.07.wav,5,0
100852-0-0-7-ps-1.wav,5,0
100852-0-0-8-ps-1.wav,5,0
100852-0-0-9-ps-1.wav,5,0
101281-3-0-0-ps-1.wav,6,3
101281-3-0-14-ps--1.wav,6,3
101281-3-0-5-ps-2.wav,6,3
101382-2-0-12-ts-1.23.wav,10,2
101382-2-0-12-ps--1.wav,10,2
101382-2-0-21-ts-1.23.wav,10,2
101382-2-0-21-ps-2.wav,10,2
101382-2-0-29-ts-0.81.wav,10,2
101382-2-0-29-ps-2.wav,10,2
101382-2-0-33-ts-0.81.wav,10,2
101382-2-0-33-ps-1.wav,10,2
101382-2-0-45-ts-0.93.wav,10,2
101382-2-0-45-ps-1.wav,10,2
101415-3-0-2-ts-0.81.wav,1,3
101415-3-0-3-ps-2.wav,1,3
101415-3-0-8-ts-1.07.wav,1,3
101415-3-0-8-ps--1.wav,1,3
101729-0-0-1-ps--1.wav,9,0
101729-0-0-11-ts-0.81.wav,9,0
101729-0-0-12-ps-2.wav,9,0
101729-0-0-13-ps--2.wav,9,0
101729-0-0-16-ts-0.93.wav,9,0
101729-0-0-16-ps-2.wav,9,0
101729-0-0-17-ts-1.07.wav,9,0
101729-0-0-17-ps-1.wav,9,0
101729-0-0-19-ts-0.81.wav,9,0
101729-0-0-19-ps--1.wav,9,0
101729-0-0-21-ts-1.07.wav,9,0
101729-0-0-21-ps--2.wav,9,0
101729-0-0-22-ps--1.wav,9,0
101729-0-0-23-ts-1.23.wav,9,0
101729-0-0-24-ps--1.wav,9,0
101729-0-0-26-ts-0.93.wav,9,0
101729-0-0-26-ps-1.wav,9,0
101729-0-0-28-ps--2.wav,9,0
101729-0-0-29-ts-0.93.wav,9,0
101729-0-0-33-ts-1.23.wav,9,0
101729-0-0-36-ts-0.81.wav,9,0
101729-0-0-36-ps--1.wav,9,0
101729-0-0-37-ps-1.wav,9,0
101729-0-0-38-ts-0.81.wav,9,0
101729-0-0-38-ps-1.wav,9,0
101729-0-0-39-ts-1.23.wav,9,0
101729-0-0-39-ps--1.wav,9,0
101729-0-0-4-ts-0.93.wav,9,0
101729-0-0-4-ps--2.wav,9,0
101729-0-0-40-ts-1.23.wav,9,0
101729-0-0-40-ps--1.wav,9,0
101729-0-0-6-ts-1.23.wav,9,0
101729-0-0-6-ps--2.wav,9,0
101848-9-0-0-ps--1.wav,7,9
101848-9-0-2-ts-1.07.wav,7,9
101848-9-0-3-ts-1.07.wav,7,9
101848-9-0-8-ps-2.wav,7,9
101848-9-0-9-ts-0.81.wav,7,9
102103-3-0-0-ts-0.93.wav,10,3
102103-3-0-0-ps-2.wav,10,3
102103-3-1-0-ps-1.wav,10,3
102105-3-0-0-ts-0.81.wav,3,3
102106-3-0-0-ts-1.07.wav,1,3
102106-3-0-0-ps--2.wav,1,3
102547-3-0-2-ts-1.23.wav,5,3
102842-3-0-1-ts-0.81.wav,1,3
102842-3-0-1-ps--2.wav,1,3
102842-3-1-0-ts-0.81.wav,1,3
102842-3-1-5-ts-0.81.wav,1,3
102842-3-1-5-ps--1.wav,1,3
102842-3-1-6-ps--2.wav,1,3
102853-8-0-1-ps-2.wav,7,8
102853-8-0-2-ts-0.93.wav,7,8
102853-8-0-4-ps--2.wav,7,8
102853-8-0-5-ts-0.81.wav,7,8
102853-8-0-6-ts-1.07.wav,7,8
102853-8-1-0-ts-0.81.wav,7,8
102853-8-1-0-ps--1.wav,7,8
102857-5-0-0-ps-2.wav,10,5
102857-5-0-12-ps-2.wav,10,5
102857-5-0-13-ps--1.wav,10,5
102857-5-0-14-ts-0.81.wav,10,5
102857-5-0-14-ps-2.wav,10,5
102857-5-0-2-ts-1.23.wav,10,5
102857-5-0-20-ts-0.81.wav,10,5
102857-5-0-20-ps-2.wav,10,5
102857-5-0-22-ps--2.wav,10,5
102857-5-0-26-ts-1.07.wav,10,5
102857-5-0-26-ps-1.wav,10,5
102857-5-0-28-ts-1.23.wav,10,5
102857-5-0-28-ps--2.wav,10,5
102857-5-0-30-ts-0.81.wav,10,5
102857-5-0-5-ts-1.07.wav,10,5
102857-5-0-5-ps--2.wav,10,5
102857-5-0-6-ts-0.93.wav,10,5
102857-5-0-6-ps-2.wav,10,5
102857-5-0-7-ts-1.23.wav,10,5
102858-5-0-0-ts-0.81.wav,2,5
102858-5-0-1-ps--2.wav,2,5
102871-8-0-1-ps-1.wav,2,8
102871-8-0-10-ps-2.wav,2,8
102871-8-0-11-ts-0.93.wav,2,8
102871-8-0-15-ts-1.07.wav,2,8
102871-8-0-15-ps-1.wav,2,8
102871-8-0-4-ts-0.81.wav,2,8
102871-8-0-4-ps--2.wav,2,8
102871-8-0-5-ts-1.23.wav,2,8
102871-8-0-5-ps-2.wav,2,8
102871-8-0-6-ts-0.93.wav,2,8
102871-8-0-6-ps-1.wav,2,8
102871-8-0-8-ps-1.wav,2,8
103074-7-0-1-ps-1.wav,1,7
